Nload,Soil moisture,Grain unit,NSWRM cost,linE,hedge_share_con,buffer_share_con,grassslope_share_con,notill_share_con,lu_share,hedge_moran,buffer_moran,grassslope_moran,notill_moran,buffer_channel_frac,grassslope_channel_frac,notill_channel_frac
-5510.804,13.3068,18608.562,-8897.388575,0,0,0,0,0.314233602,0,1,0.992162991,0,0.359830506,0,0,0.001483333
-5446.104,13.3906,18646.592,-175821.4804,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5414.204,13.374,18580.813,-124882.1828,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5409.904,13.3926,18518.753,-169475.8719,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5411.904,13.4346,18573.336,-225100.3389,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5439.704,13.3192,18559.934,-47223.43602,0,0,0,0,0.407349115,0,1,0.992162991,0,0.401775008,0,0,0.000123749
-5504.104,13.311,18613.18,-18941.76514,0,0,0,0,0.407349115,0,1,0.992162991,0,0.401775008,0,0,0.000123749
-5409.904,13.3746,18583.702,-131208.3845,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5527.204,13.3942,18637.66,-161678.9138,0,0,0,0,0.430922182,0,1,0.992162991,0,0.659478285,0,0,0.499423816
-5428.604,13.3198,18466.619,-65770.29101,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5406.604,13.4474,18504.835,-299899.7756,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5514.404,13.3432,18652.941,-60001.40278,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5391.604,13.4342,18456.58,-230896.7627,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5506.404,13.318,18605.951,-21170.74083,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5414.204,13.362,18584.452,-109301.6041,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5464.204,13.3994,18579.305,-173045.2759,0,0,0,0,0.199201074,0,1,0.992162991,0,0.212846365,0,0,0.288977842
-5386.304,13.3282,18330.411,-102612.2816,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5386.404,13.335,18323.987,-108612.4323,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5526.904,13.3972,18634.364,-176928.277,0,0,0,0,0.430922182,0,1,0.992162991,0,0.659478285,0,0,0.499423816
-5410.904,13.3812,18577.281,-137208.5353,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5391.704,13.4294,18447.402,-210539.9482,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5479.204,13.2884,18332.676,-14648.93703,0,0,0,0,0.49516716,0,1,0.992162991,0,0.489342634,0,0,0.000101802
-5384.804,13.4064,18508.021,-184795.1722,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5385.804,13.3454,18301.826,-127242.5729,0,0,0,0,0.49516716,0,1,0.992162991,0,0.489342634,0,0,0.000101802
-5390.104,13.4312,18313.397,-224101.7212,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5511.204,13.3048,18617.264,-7707.477222,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5387.204,13.4278,18400.779,-259037.4026,0,0,0.02210406,0,0,1,1,0.993266239,0,0.005712662,1,0,0
-5414.604,13.3964,18605.904,-161627.8092,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5471.604,13.3088,18542.333,-17852.75089,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5512.104,13.372,18604.37,-90790.74222,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5486.404,13.3774,18628.741,-113866.2548,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5527.904,13.404,18627.941,-182928.4277,0,0,0,0,0.430922182,0,1,0.992162991,0,0.659478285,0,0,0.499423816
-5385.804,13.413,18501.598,-190795.323,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5503.504,13.3836,18528.767,-131993.472,0,0,0,0,0.097636837,0,1,0.992162991,0,0.170536858,0,0,0.00450052
-5524.504,13.3746,18607.07,-97336.3951,0,0,0,0,0.689456853,0,1,0.992162991,0,0.902337385,0,0,3.68E-05
-5413.804,13.4322,18593.437,-205022.4433,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5532.804,13.386,18639.983,-141115.7284,0,0,0,0,0.430922182,0,1,0.992162991,0,0.659478285,0,0,0.499423816
-5428.604,13.326,18460.198,-71770.44174,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5386.004,13.4216,18421.831,-249340.3114,0,0,0.02210406,0,0,1,1,0.993266239,0,0.005712662,1,0,0
-5506.404,13.3102,18601.866,-18103.64593,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5533.904,13.3924,18633.561,-147115.8791,0,0,0,0,0.430922182,0,1,0.992162991,0,0.659478285,0,0,0.499423816
-5470.204,13.372,18582.136,-98696.5302,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5410.704,13.3958,18517.874,-172779.3782,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5414.304,13.4274,18582.404,-197724.8535,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5501.804,13.2992,18548.849,-8547.944894,0,0,0,0,0.447786591,0,1,0.992162991,0,0.447412288,0,0,0.000112574
-5464.704,13.3784,18522.726,-123893.0779,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5421.904,13.2852,18346.152,-62005.85799,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5408.304,13.4442,18540.844,-228152.3989,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5391.904,13.3624,18514.161,-121252.5917,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5464.704,13.3808,18524.522,-130210.4494,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5394.604,13.3662,18472.147,-140777.6762,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
